Annotation_type	ID	Description	Function	Function_type
IPR	IPR001854	Ribosomal protein L29/L35	Ribosomal genes	Fungal multicellularity
IPR	IPR001971	Ribosomal protein S11	Ribosomal genes	Fungal multicellularity
IPR	IPR021138	"60S ribosomal protein L18a/ L20, eukaryotes"	Ribosomal genes	Fungal multicellularity
IPR	IPR002171	Ribosomal protein L2	Ribosomal genes	Fungal multicellularity
IPR	IPR001684	Ribosomal protein L27	Ribosomal genes	Fungal multicellularity
IPR	IPR001857	Ribosomal protein L19	Ribosomal genes	Fungal multicellularity
IPR	IPR002143	Ribosomal protein L1	Ribosomal genes	Fungal multicellularity
IPR	IPR001266	Ribosomal protein S19e	Ribosomal genes	Fungal multicellularity
IPR	IPR008195	Ribosomal protein L34Ae	Ribosomal genes	Fungal multicellularity
IPR	IPR000702	Ribosomal protein L6	Ribosomal genes	Fungal multicellularity
IPR	IPR001865	Ribosomal protein S2	Ribosomal genes	Fungal multicellularity
IPR	IPR000529	Ribosomal protein S6	Ribosomal genes	Fungal multicellularity
IPR	IPR001892	Ribosomal protein S13	Ribosomal genes	Fungal multicellularity
IPR	IPR000235	Ribosomal protein S5/S7	Ribosomal genes	Fungal multicellularity
IPR	IPR000630	Ribosomal protein S8	Ribosomal genes	Fungal multicellularity
IPR	IPR001063	Ribosomal protein L22/L17	Ribosomal genes	Fungal multicellularity
IPR	IPR002136	Ribosomal protein L4/L1e	Ribosomal genes	Fungal multicellularity
IPR	IPR004977	Ribosomal protein S25	Ribosomal genes	Fungal multicellularity
IPR	IPR023442	"Ribosomal protein L24e, conserved site"	Ribosomal genes	Fungal multicellularity
IPR	IPR002784	Ribosomal protein L14e domain	Ribosomal genes	Fungal multicellularity
IPR	IPR005485	Ribosomal protein L5 eukaryotic/L18 archaeal	Ribosomal genes	Fungal multicellularity
IPR	IPR002671	Ribosomal protein L22e	Ribosomal genes	Fungal multicellularity
IPR	IPR000592	Ribosomal protein S27	Ribosomal genes	Fungal multicellularity
IPR	IPR001209	Ribosomal protein S14	Ribosomal genes	Fungal multicellularity
IPR	IPR001147	Ribosomal protein L21e	Ribosomal genes	Fungal multicellularity
IPR	IPR001569	Ribosomal protein L37e	Ribosomal genes	Fungal multicellularity
IPR	IPR000876	Ribosomal protein S4e	Ribosomal genes	Fungal multicellularity
IPR	IPR000530	Ribosomal protein S12e	Ribosomal genes	Fungal multicellularity
IPR	IPR001351	"Ribosomal protein S3, C-terminal"	Ribosomal genes	Fungal multicellularity
IPR	IPR000289	Ribosomal protein S28e	Ribosomal genes	Fungal multicellularity
IPR	IPR005711	"Ribosomal protein S5, eukaryotic/archaeal"	Ribosomal genes	Fungal multicellularity
IPR	IPR000266	Ribosomal protein S17/S11	Ribosomal genes	Fungal multicellularity
IPR	IPR002675	Ribosomal protein L38e	Ribosomal genes	Fungal multicellularity
IPR	IPR000509	Ribosomal protein L36e	Ribosomal genes	Fungal multicellularity
IPR	IPR000307	Ribosomal protein S16	Ribosomal genes	Fungal multicellularity
IPR	IPR021131	Ribosomal protein L18e/L15P	Ribosomal genes	Fungal multicellularity
IPR	IPR000892	Ribosomal protein S26e	Ribosomal genes	Fungal multicellularity
IPR	IPR006032	Ribosomal protein S12/S23	Ribosomal genes	Fungal multicellularity
IPR	IPR005756	"Ribosomal protein L26/L24, eukaryotic/archaeal"	Ribosomal genes	Fungal multicellularity
IPR	IPR005324	"Ribosomal protein S5, C-terminal"	Ribosomal genes	Fungal multicellularity
IPR	IPR001705	Ribosomal protein L33	Ribosomal genes	Fungal multicellularity
IPR	IPR001912	"Ribosomal protein S4/S9, N-terminal"	Ribosomal genes	Fungal multicellularity
IPR	IPR001648	Ribosomal protein S18	Ribosomal genes	Fungal multicellularity
IPR	IPR001976	Ribosomal protein S24e	Ribosomal genes	Fungal multicellularity
IPR	IPR005996	"Ribosomal protein L30, bacterial-type"	Ribosomal genes	Fungal multicellularity
IPR	IPR000114	Ribosomal protein L16	Ribosomal genes	Fungal multicellularity
IPR	IPR029004	Ribosomal L28e/Mak16	Ribosomal genes	Fungal multicellularity
IPR	IPR015590	Aldehyde dehydrogenase domain	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR011904	Acetate-CoA ligase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR013149	"Alcohol dehydrogenase-like, C-terminal"	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR001765	Carbonic anhydrase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR003700	Ketopantoate hydroxymethyltransferase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR001977	Dephospho-CoA kinase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR004566	Pantothenate kinase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR001980	Phosphopantetheine adenylyltransferase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR003721	Pantoate-beta-alanine ligase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR001697	Pyruvate kinase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR046433	Acetyl-CoA hydrolase/transferase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR012110	Pyruvate decarboxylase/indolepyruvate decarboxylase-like	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR001252	"Malate dehydrogenase, active site"	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR001465	Malate synthase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR006254	Isocitrate lyase	Acetyl-CoA production and metabolism	Fungal multicellularity
IPR	IPR001171	Sterol biosynthesis ERG24/DHCR-like	Lipid metabolism	Fungal multicellularity
IPR	IPR002225	3-beta hydroxysteroid dehydrogenase/isomerase	Lipid metabolism	Fungal multicellularity
IPR	IPR040125	Squalene monooxygenase	Lipid metabolism	Fungal multicellularity
IPR	IPR023208	NADPH-cytochrome P450 reductase	Lipid metabolism	Fungal multicellularity
IPR	IPR002060	Squalene/phytoene synthase	Lipid metabolism	Fungal multicellularity
IPR	IPR039702	Farnesyl pyrophosphate synthase-like	Lipid metabolism	Fungal multicellularity
IPR	IPR002202	"Hydroxymethylglutaryl-CoA reductase, class I/II"	Lipid metabolism	Fungal multicellularity
IPR	IPR016005	Phosphomevalonate kinase Erg8	Lipid metabolism	Fungal multicellularity
IPR	IPR029765	Diphosphomevalonate decarboxylase	Lipid metabolism	Fungal multicellularity
IPR	IPR016636	3-oxo-5-alpha-steroid 4-dehydrogenase	Lipid metabolism	Fungal multicellularity
IPR	IPR008901	Alkaline ceramidase	Lipid metabolism	Fungal multicellularity
IPR	IPR000648	Oxysterol-binding protein	Lipid metabolism	Fungal multicellularity
IPR	IPR004570	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	Lipid metabolism	Fungal multicellularity
IPR	IPR016219	"Phosphatidylethanolamine N-methyltransferase, fungi"	Lipid metabolism	Fungal multicellularity
IPR	IPR014472	Choline/ethanolamine phosphotransferase	Lipid metabolism	Fungal multicellularity
IPR	IPR005804	Fatty acid desaturase domain	Lipid metabolism	Fungal multicellularity
IPR	IPR030395	Glycerophosphodiester phosphodiesterase domain	Lipid metabolism	Fungal multicellularity
IPR	IPR008253	Marvel domain	Lipid metabolism	Fungal multicellularity
IPR	IPR008631	Glycogen synthase	Carbohydrate storage	Fungal multicellularity
IPR	IPR016267	UTP--glucose-1-phosphate uridylyltransferase	Carbohydrate storage	Fungal multicellularity
IPR	IPR032788	"Glycogen debranching enzyme, central domain"	Carbohydrate storage	Fungal multicellularity
CAZy	CBM21	starch-binding domains	Carbohydrate storage	Fungal multicellularity
CAZy	GH37	Trehalase	Carbohydrate storage	Fungal multicellularity
IPR	IPR001313	Pumilio RNA-binding repeat	RNA binding proteins	Expression regulation
IPR	IPR000504	RNA recognition motif domain	RNA binding proteins	Expression regulation
IPR	IPR005034	Dicer dimerisation domain	RNA interference	Expression regulation
IPR	IPR032474	"Protein argonaute, N-terminal"	RNA interference	Expression regulation
IPR	IPR007855	"RNA-dependent RNA polymerase, eukaryotic-type"	RNA interference	Expression regulation
IPR	IPR007125	Histone H2A/H2B/H3	Chromatin regulation	Expression regulation
IPR	IPR005819	Linker histone H1/H5	Chromatin regulation	Expression regulation
IPR	IPR002717	"Histone acetyltransferase domain, MYST-typ"	Chromatin regulation	Expression regulation
IPR	IPR003084	Histone deacetylase	Chromatin regulation	Expression regulation
IPR	IPR036747	Histone chaperone ASF1-like superfamily	Chromatin regulation	Expression regulation
IPR	IPR019098	Histone chaperone domain CHZ	Chromatin regulation	Expression regulation
IPR	IPR013719	"Histone chaperone RTT106/FACT complex subunit SPT16-like, middle domain"	Chromatin regulation	Expression regulation
IPR	IPR013951	Histone deacetylation protein Rxt3	Chromatin regulation	Expression regulation
IPR	IPR001951	Histone H4	Chromatin regulation	Expression regulation
IPR	IPR019340	Histone acetyltransferases subunit 3	Chromatin regulation	Expression regulation
IPR	IPR013178	Histone acetyltransferase Rtt109/CBP	Chromatin regulation	Expression regulation
IPR	IPR017956	"AT hook, DNA-binding motif"	Chromatin regulation	Expression regulation
IPR	IPR003105	SRA-YDG	Chromatin regulation	Expression regulation
IPR	IPR036887	HTH APSES-type DNA-binding domain superfamily	Transcription factors	Expression regulation
IPR	IPR004827	Basic-leucine zipper domain	Transcription factors	Expression regulation
IPR	IPR004595	TFIIH C1-like domain	Transcription factors	Expression regulation
IPR	IPR001289	Nuclear transcription factor Y subunit A	Transcription factors	Expression regulation
IPR	IPR007604	CP2 transcription factor	Transcription factors	Expression regulation
IPR	IPR018501	DDT domain	Transcription factors	Expression regulation
IPR	IPR001766	Fork head domain	Transcription factors	Expression regulation
IPR	IPR007219	"Transcription factor domain, fungi"	Transcription factors	Expression regulation
IPR	IPR036864	Zn(2)-C6 fungal-type DNA-binding domain superfamily	Transcription factors	Expression regulation
IPR	IPR000679	"Zinc finger, GATA-type"	Transcription factors	Expression regulation
IPR	IPR010666	"Zinc finger, GRF-type"	Transcription factors	Expression regulation
IPR	IPR036638	Helix-loop-helix DNA-binding domain superfamily	Transcription factors	Expression regulation
IPR	IPR001356	Homeobox domain	Transcription factors	Expression regulation
IPR	IPR000232	"Heat shock factor (HSF)-type, DNA-binding"	Transcription factors	Expression regulation
IPR	IPR000047	Helix-turn-helix motif	Transcription factors	Expression regulation
IPR	IPR007889	"DNA binding HTH domain, Psq-type"	Transcription factors	Expression regulation
IPR	IPR004181	"Zinc finger, MIZ-type"	Transcription factors	Expression regulation
IPR	IPR017930	Myb domain	Transcription factors	Expression regulation
IPR	IPR037141	NDT80 DNA-binding domain superfamily	Transcription factors	Expression regulation
IPR	IPR000967	"Zinc finger, NF-X1-type"	Transcription factors	Expression regulation
IPR	IPR007196	"CCR4-Not complex component, Not1, C-terminal"	Transcription factors	Expression regulation
IPR	IPR013767	PAS fold	Transcription factors	Expression regulation
IPR	IPR003150	DNA-binding RFX-type winged-helix domain	Transcription factors	Expression regulation
IPR	IPR005011	SNU66/SART1 family	Transcription factors	Expression regulation
IPR	IPR002100	"Transcription factor, MADS-box"	Transcription factors	Expression regulation
IPR	IPR003120	Transcription factor Ste12	Transcription factors	Expression regulation
IPR	IPR000818	TEA/ATTS domain	Transcription factors	Expression regulation
IPR	IPR003656	"Zinc finger, BED-type"	Transcription factors	Expression regulation
IPR	IPR013087	Zinc finger C2H2-type	Transcription factors	Expression regulation
IPR	IPR004198	"Zinc finger, C5HC2-type"	Transcription factors	Expression regulation
IPR	IPR021858	Fungal transcription factor	Transcription factors	Expression regulation
IPR	IPR021950	Transcription factor Spt20	Transcription factors	Expression regulation
IPR	IPR002100	"Transcription factor, MADS-box"	Transcription factors	Expression regulation
IPR	IPR001222	"Zinc finger, TFIIS-type"	Transcription factors	Expression regulation
IPR	IPR003956	"Transcription factor, NFYB/HAP3, conserved site"	Transcription factors	Expression regulation
IPR	IPR000812	Transcription factor TFIIB	Transcription factors	Expression regulation
IPR	IPR019473	"Transcription factor TFIID, subunit 8, C-terminal"	Transcription factors	Expression regulation
IPR	IPR014402	"Transcription factor, Skn7-like"	Transcription factors	Expression regulation
IPR	IPR003194	"Transcription initiation factor IIA, gamma subunit"	Transcription factors	Expression regulation
IPR	IPR012617	"Apoptosis-antagonizing transcription factor, C-terminal"	Transcription factors	Expression regulation
IPR	IPR019481	"Transcription factor TFIIIC, triple barrel domain"	Transcription factors	Expression regulation
IPR	IPR017923	"Transcription factor IIS, N-termina"	Transcription factors	Expression regulation
IPR	IPR031349	"General transcription factor TFIIH, subunit Tfb6"	Transcription factors	Expression regulation
IPR	IPR003166	"Transcription factor TFIIE beta subunit, DNA-binding domain"	Transcription factors	Expression regulation
IPR	IPR008967	"p53-like transcription factor, DNA-binding domain superfamily"	Transcription factors	Expression regulation
IPR	IPR013083	"Zinc finger, RING/FYVE/PHD-type"	Transcription factors	Expression regulation
IPR	IPR003958	Transcription factor CBF/NF-Y/archaeal histone domain	Transcription factors	Expression regulation
IPR	IPR004598	Transcription factor TFIIH subunit p52/Tfb2	Transcription factors	Expression regulation
IPR	IPR011039	"Transcription Factor IIF, Rap30/Rap74, interaction"	Transcription factors	Expression regulation
IPR	IPR024761	"Transcription factor IIIC, 90kDa subunit, N-terminal"	Transcription factors	Expression regulation
IPR	IPR039467	"Transcription factor TFIIIB component B, Myb domain"	Transcription factors	Expression regulation
IPR	IPR019136	"Transcription factor IIIC subunit 5, HTH domain"	Transcription factors	Expression regulation
IPR	IPR001289	Nuclear transcription factor Y subunit A	Transcription factors	Expression regulation
IPR	IPR004855	"Transcription factor IIA, alpha/beta subunit"	Transcription factors	Expression regulation
IPR	IPR013927	Transcription factor Opi1	Transcription factors	Expression regulation
IPR	IPR013734	Transcription factor Nrm1/Whi5	Transcription factors	Expression regulation
IPR	IPR034812	"Psi-factor producing oxygenase-like, N-terminal heme peroxidase domain"	Oxylipins	Signal transduction
KEGG	K00006	GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8] 	MAPK signaling pathway	Signal transduction
KEGG	K00706	"E2.4.1.34; 1,3-beta-glucan synthase [EC:2.4.1.34] "	MAPK signaling pathway	Signal transduction
KEGG	K00888	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67] 	MAPK signaling pathway	Signal transduction
KEGG	K00889	PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68] 	MAPK signaling pathway	Signal transduction
KEGG	K01383	BAR1; barrierpepsin [EC:3.4.23.35] 	MAPK signaling pathway	Signal transduction
KEGG	K02218	"CSNK1, CKI; casein kinase 1 [EC:2.7.11.1] "	MAPK signaling pathway	Signal transduction
KEGG	K02220	CLB1; G2/mitotic-specific cyclin 1 	MAPK signaling pathway	Signal transduction
KEGG	K02515	"HSL1; serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase [EC:2.7.11.-] "	MAPK signaling pathway	Signal transduction
KEGG	K02516	"PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320] "	MAPK signaling pathway	Signal transduction
KEGG	K02555	MIH1; M-phase inducer tyrosine phosphatase [EC:3.1.3.48] 	MAPK signaling pathway	Signal transduction
KEGG	K02677	PRKCA; classical protein kinase C alpha type [EC:2.7.11.13] 	MAPK signaling pathway	Signal transduction
KEGG	K03085	SIC1; substrate and inhibitor of the cyclin-dependent protein kinase CDC28 	MAPK signaling pathway	Signal transduction
KEGG	K03114	SWE1; mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1] 	MAPK signaling pathway	Signal transduction
KEGG	K03781	"katE, CAT, catB, srpA; catalase [EC:1.11.1.6] "	MAPK signaling pathway	Signal transduction
KEGG	K04371	"ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24] "	MAPK signaling pathway	Signal transduction
KEGG	K04393	CDC42; cell division control protein 42 	MAPK signaling pathway	Signal transduction
